idUniversidad,Nombre
1,UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA
2,UNIVERSIDAD POLITÉCNICA DE BAJA CALIFORNIA
3,INSTITUTO TECNOLÓGICO DE MEXICALI
4,INSTITUTO TECNOLÓGICO DE TIJUANA
5,INSTITUTO TECNOLÓGICO DE ENSENADA
6,UNIVERSIDAD TECNOLÓGICA DE TIJUANA
7,INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA
8,CENTRO DE INVESTIGACION Y DESARROLLO EN TECNO
9,COLEGIO DE LA FRONTERA NORTE
10,CENTRO DE INVESTIGACIÓN CIENTÍFICA Y DE EDUCA
11,CENTRO DE NANOCIENCIAS Y NANOTECNOLOGÍA DE LA
12,OBSERVATORIO ASTRONÓMICO DE LA UNAM
13,BENEMÉRITA ESCUELA NORMAL URBANA FEDERAL FRON
14,ESCUELA NORMAL EXPERIMENTAL “MAESTRO RAFAEL R
15,ESCUELA NORMAL DE EDUCADORAS “ESTEFANÍA CASTA
16,ESCUELA NORMAL PARA LICENCIADO EN EDUCACIÓN P
17,ESCUELA NORMAL URBANA NOCTURNA DEL ESTADO
18,ESCUELA NORMAL EXPERIMENTAL
19,ESCUELA NORMAL FRONTERIZA TIJUANA
20,ESCUELA NORMAL ESTATAL
21,ESCUELA NORMAL ESTATAL EXTENSIÓN SAN QUINTÍN
22,ESCUELA NORMAL “PROFR. GREGORIO TORRES QUINTE
23,UNIVERSIDAD ESTATAL DE ESTUDIOS PEDAGÓGICOS
24,UNIVERSIDAD PEDAGÓGICA NACIONAL UNIDAD MEXICA
25,UNIVERSIDAD PEDAGÓGICA NACIONAL UNIDAD TIJUAN
26,INSTITUTO DE BELLAS ARTES
27,CENTRO SUPERIOR DE PEDAGOGÍA “MENTOR MEXICANO
28,CENTRO UNIVERSITARIO DE TIJUANA CAMPUS TIJUAN
29,CENTRO UNIVERSITARIO DE TIJUANA CAMPUS ENSENA
30,CENTRO UNIVERSITARIO DE TIJUANA CAMPUS MEXICA
31,COLEGIO ENSENADA
32,"COLEGIO ENSENADA, CAMPUS TIJUANA"
33,COLEGIO EVOLUCIÓN DEL NOROESTE
34,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR
35,UNIVERSIDAD IBEROAMERICANA TIJUANA
36,CENTRO INTERNACIONAL DE ESTUDIOS SUPERIORES
37,CENTRO UNIVERSITARIO DE TIJUANA
38,UNIVERSIDAD DE LAS CALIFORNIAS
39,CENTRO DE ESTUDIOS UNIVERSITARIOS UNIVER NORO
40,CENTRO DE ESTUDIOS UNIVERSITARIOS UNIVER MEXI
41,CENTRO DE ESTUDIOS SUPERIORES DEL NOROESTE
42,ESCUELA DE DANZA GLORIA CAMPOBELLO
43,FACULTAD INTERNACIONAL DE LAS CIENCIAS DE LA 
44,UNIVERSIDAD DEL DESARROLLO PROFESIONAL
45,"CENTRO DE ESTUDIOS SUPERIORES, CULINARY ART S"
46,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO
47,CENTRO DE ESTUDIOS UNIVERSITARIOS DE BAJA CAL
48,CENTRO DE ESTUDIOS SUPERIORES DE LA FRONTERA
49,CENTRO DE INVESTIGACIÓN PARA EL DESARROLLO HU
50,INSTITUTO PARA EL DESARROLLO EMPRENDEDOR
51,INSTITUTO PARA EL DESARROLLO EMPRENDEDOR
52,"SEMINARIO DIOCESANO, INSTITUTO SUPERIOR DE FI"
53,SEMINARIO DE TIJUANA
54,CENTRO DE ESTUDIOS UNIVERSITARIOS BENITO JUÁR
55,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO
56,ESCUELA SUPERIOR DE ARTES VISUALES
57,ESCUELA DEL PACÍFICO
58,INSTITUTO EDUCATIVO JOSÉ VASCONCELOS
59,UNIVERSIDAD ROSARITENSE
60,ESCUELA SUPERIOR DE COMERCIO EXTERIOR
61,TECNOLÓGICO DE BAJA CALIFORNIA
62,CENTRO DE ESTUDIOS SUPERIORES CECYT
63,INSTITUTO TECNOLOGICO DE LA CONSTRUCCIÓN
64,"UNIVERSIDAD DEL VALLE DE MÉXICO, CAMPUS MEXIC"
1000,UABC
